Lat,Long,Satellite,Time_UTC,Date,Source,PROVINSI,KAB_KOTA,kec2006,desaa2006,nama_kaw
-2.84,116.05,NOAA19,7:03:32 AM,20161019,ASMC,KALIMANTAN SELATAN,KOTABARU,KELUMPANG TENGAH,BATANG KULUR,
-2.36,116.46,NOAA19,7:03:32 AM,20161019,ASMC,KALIMANTAN TIMUR,PASIR,TANJUNG ARU,TUNES KELADEN,
-2.36,116.233,NOAA19,7:03:32 AM,20161019,ASMC,KALIMANTAN SELATAN,KOTABARU,PAMUKAN UTARA,BETUNG,
-2.35,116.17,NOAA19,7:03:32 AM,20161019,ASMC,KALIMANTAN SELATAN,KOTABARU,PAMUKAN UTARA,SEKAYU BARU,
-2.26,115.67,NOAA19,7:03:32 AM,20161019,ASMC,KALIMANTAN SELATAN,BALANGAN,HALONG,KARYA,
-1.9,112.04,NOAA19,7:03:32 AM,20161019,ASMC,KALIMANTAN TENGAH,SERUYAN,SERUYAN TENGAH,RANTAU PULUT,
-2.9,115.82,NOAA19,7:03:32 AM,20161019,ASMC,KALIMANTAN SELATAN,KOTABARU,HAMPANG,CANTUNG KIRI HULU,
-3.245,115.39,NOAA19,7:03:32 AM,20161019,ASMC,KALIMANTAN SELATAN,BANJAR,SUNGAI PINANG,BELIMBING LAMA,
-6.963,110.787,NOAA19,7:03:32 AM,20161019,ASMC,JAWA TENGAH,GROBOGAN,KLAMBU,TERKESI,
-1.035,112.945,NOAA19,7:03:32 AM,20161019,ASMC,KALIMANTAN TENGAH,KATINGAN,SANAMAN MANTIKEI,TUMBANG TARANEI,
-1.31,113.01,NOAA19,7:03:32 AM,20161019,ASMC,KALIMANTAN TENGAH,KATINGAN,SANAMAN MANTIKEI,TUMBANG LABEHU,
-0.85,102.11,NOAA19,8:30:04 AM,20161221,ASMC,RIAU,INDRAGIRI HULU,KECAMATAN PERANAP,TALANG MULYA,
-0.74,110.195,NOAA19,7:20:48 AM,20160921,ASMC,KALIMANTAN BARAT,KETAPANG,SIMPANG HULU,KUALAN HILIR,
-2.21,110.98,NOAA19,7:20:48 AM,20160921,ASMC,KALIMANTAN BARAT,KETAPANG,MANIS MATA,TERUSAN,
-7.92,112.15,NOAA19,7:20:48 AM,20160921,ASMC,JAWA TIMUR,KEDIRI,,,
-2.59,121.38,NOAA19,6:53:00 AM,20161020,ASMC,SULAWESI SELATAN,LUWU TIMUR,TOWUTI,ASULI,
